CDS                                                       ,dN/dS,dN,dS,Species Pair
mini.cds.fasta_GLEAN_10000006-croc.cds.fasta_GLEAN_10000006,3.1489,0.0053,0.0017,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000007-croc.cds.fasta_GLEAN_10000007,1.269,0.0023,0.0018,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000018-croc.cds.fasta_GLEAN_10000018,0.4432,0.0046,0.0105,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000028-croc.cds.fasta_GLEAN_10000028,0.0991,0.0006,0.0064,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000041-croc.cds.fasta_GLEAN_10000041,0.5602,0.0037,0.0066,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000042-croc.cds.fasta_GLEAN_10000042,0.305,0.0146,0.0479,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000049-croc.cds.fasta_GLEAN_10000049,0.482,1.0931,2.2679,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000052-croc.cds.fasta_GLEAN_10000052,0.5971,0.012,0.0202,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000056-croc.cds.fasta_GLEAN_10000056,0.6177,0.0027,0.0043,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000068-croc.cds.fasta_GLEAN_10000068,0.5615,0.0027,0.0049,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000069-croc.cds.fasta_GLEAN_10000069,0.448,0.0046,0.0104,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000070-croc.cds.fasta_GLEAN_10000070,0.4318,0.0066,0.0153,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000071-croc.cds.fasta_GLEAN_10000071,0.8665,0.0226,0.026,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000072-croc.cds.fasta_GLEAN_10000072,0.6986,0.0014,0.002,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000075-croc.cds.fasta_GLEAN_10000075,1.2118,0.0026,0.0022,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000079-croc.cds.fasta_GLEAN_10000079,0.3286,0.001,0.0032,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000081-croc.cds.fasta_GLEAN_10000081,0.3569,0.0013,0.0037,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000082-croc.cds.fasta_GLEAN_10000082,0.2075,0.0015,0.0071,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000086-croc.cds.fasta_GLEAN_10000086,0.9547,0.0198,0.0208,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000087-croc.cds.fasta_GLEAN_10000087,2.8345,0.0606,0.0214,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000089-croc.cds.fasta_GLEAN_10000089,0.3467,0.0018,0.0052,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000102-croc.cds.fasta_GLEAN_10000102,0.3234,0.0005,0.0016,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000107-croc.cds.fasta_GLEAN_10000107,0.963,0.0044,0.0046,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000109-croc.cds.fasta_GLEAN_10000109,0.1607,0.0016,0.0099,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000112-croc.cds.fasta_GLEAN_10000112,0.4083,0.0039,0.0095,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000116-croc.cds.fasta_GLEAN_10000116,0.075,0.0008,0.0106,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000117-croc.cds.fasta_GLEAN_10000117,0.6023,0.0152,0.0252,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000118-croc.cds.fasta_GLEAN_10000118,1.1046,0.0222,0.0201,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000119-croc.cds.fasta_GLEAN_10000119,0.5916,0.0177,0.03,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000120-croc.cds.fasta_GLEAN_10000120,0.2846,0.0016,0.0056,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000122-croc.cds.fasta_GLEAN_10000122,0.7719,0.0179,0.0232,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000128-croc.cds.fasta_GLEAN_10000128,0.1679,0.0013,0.0076,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000137-croc.cds.fasta_GLEAN_10000137,0.738,0.0039,0.0053,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000141-croc.cds.fasta_GLEAN_10000141,0.1301,0.001,0.0077,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000145-croc.cds.fasta_GLEAN_10000145,0.1036,0.0007,0.0071,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000147-croc.cds.fasta_GLEAN_10000147,0.2269,0.0013,0.0058,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000149-croc.cds.fasta_GLEAN_10000149,0.358,0.0009,0.0026,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000158-croc.cds.fasta_GLEAN_10000158,0.4191,0.0045,0.0106,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000166-croc.cds.fasta_GLEAN_10000166,0.9517,0.003,0.0032,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000169-croc.cds.fasta_GLEAN_10000169,0.287,0.0007,0.0025,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000170-croc.cds.fasta_GLEAN_10000170,0.3222,0.001,0.0031,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000173-croc.cds.fasta_GLEAN_10000173,0.4214,0.0036,0.0085,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000174-croc.cds.fasta_GLEAN_10000174,1.2176,0.0037,0.0031,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000177-croc.cds.fasta_GLEAN_10000177,1.4661,0.0071,0.0048,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000180-croc.cds.fasta_GLEAN_10000180,0.2111,0.002,0.0096,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000183-croc.cds.fasta_GLEAN_10000183,0.3246,0.0024,0.0075,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000185-croc.cds.fasta_GLEAN_10000185,0.334,0.003,0.009,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000187-croc.cds.fasta_GLEAN_10000187,0.1467,0.0004,0.0028,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000192-croc.cds.fasta_GLEAN_10000192,0.311,0.0011,0.0036,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000194-croc.cds.fasta_GLEAN_10000194,0.4542,0.0032,0.007,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000199-croc.cds.fasta_GLEAN_10000199,0.4075,0.0053,0.013,S. crocotulus-S. miniatus
